uniqueIdentifier,investorAlertCategoryMandatory,nameMandatory,addresses,websites,emails,phones,otherInformationGeneral,otherInformationAliases,otherInformationSocialAccount,dateAdded,dateUpdated,otherInformationAccounts,realCompany
1,Unlicensed (Legacy),A M Global Management,['2511  Malayan Mansion  Jalan Masjid India 50100 Kuala Lumpar Malaysia'],,,,,,,,2019-08-23,[],[]
2,Unlicensed (Legacy),Nohelious International Marketing Operations trading as Trade99,['Estonia'],,['legal@trade99.comtrade99.com'],['+3728804999'],Note: this company is not connected to and should not be confused with the registered Australian company Trade 99 Pty Ltd ACN 604 690 799,,,2020-08-11,2020-08-11,[],[]
3,Unlicensed (Legacy),Global Agile Market Limited,['Mongkok Kowloon  Hong Kong'],['http://www.fx-gam.com/index.html'],['support@fx-Gam.com'],,,,,2020-08-11,2020-08-11,[],[]
4,Unlicensed (Legacy),Selected Markets,['Suite 17  Beachmont Business Centre  Kingstown  Saint Vincent and the Grenadines'],['https://www.selected-markets.com/'],"['support@selected-markets.com', 'finance@selected-markets.com']",,,,,2020-08-11,2020-08-12,[],[]
5,Unlicensed (Legacy),High Concept Holdings Ltd t/a FxReview,['Suite 305  Corporate Griffith Centre  Beachmont Kingstown  St. Vincent and the Grenadines'],['https://www.fxreview.com/'],"['finance@fxreview.com', 'support@fxreview.com', 'compliance@fxreview.com']",['+442080892089'],,,,2020-08-11,2020-08-11,[],[]
6,Unlicensed (Legacy),Eternal Wealth Group / Eternal Wealth FX,,['https://www.eternalwealthfx.com/'],"['au@eternalwealthfx.com', 'support@eternalwealthfx.com', 'support@eternalwealthgroup.com']",['+61 412 345 678'],Note: this company is not connected with and should not be confused with the registered Australian company Eternal Wealth Group Pty Ltd ACN 149 088 988 AFS licence #427848,,,2020-08-11,2020-08-11,"[{'otherInformationAccountNames': 'Yiran Trading Co. Limited', 'otherInformationAccountNumbers': '41510708496', 'otherInformationAccountBanks': 'Standard Chartered Bank (Hong Kong) Limited'}, {'otherInformationAccountNames': 'HK Mingf Trading Co. Limited', 'otherInformationAccountNumbers': '57411493032', 'otherInformationAccountBanks': 'Standard Chartered Bank (Hong Kong) Limited'}]",[]
7,Unlicensed (Legacy),European Financial Services Conduct Authority,,['https://efsca.online/'],,,,,,2020-08-11,2020-08-11,[],[]
8,Unlicensed (Legacy),A Nova Corporate Services / Anova Corporate Services,['222 Yanan Road East Shanghai 200002 China'],,,"['(86) 21 5115 5369 ', 'fax (86) 21 6335 1337']",,,,,2019-08-23,[],[]
9,Unlicensed (Legacy),A.I.M. Corporation Limited,['Lee Garden One  33 Hysan Avenue Causeway Bay  Hong Kong'],['www.aimcl.com'],['admin@aimcl.com'],['(852) 5801 4352'],,,,,2019-08-23,"[{'otherInformationAccountNames': 'AWDH Trading Limited', 'otherInformationAccountNumbers': '881-506002-174', 'otherInformationAccountBanks': 'ICBC Bank'}, {'otherInformationAccountNames': 'M for M Holdings Limited', 'otherInformationAccountNumbers': '009-631-011331414', 'otherInformationAccountBanks': 'China Construction Bank (Asia) Corporations Ltd'}, {'otherInformationAccountNames': 'AWDH Trading Ltd', 'otherInformationAccountNumbers': '7886898530', 'otherInformationAccountBanks': 'DHBK'}]",[]
10,Unlicensed (Legacy),Aaoption,['18 King William Street London Greater London EC4N 7BP United Kingdom'],['www.cfdstocks.com/'],['support@cfdStocks.com'],"['+64-9-9402705', '+47-21-984420', '+44-2036709909', '+44-2036709880 ', '+43-134-69999007', '+43-134-69999008', '+43-134-69999009', '+43-134-69999010', '+43-134-69999011', '+43-134-69999012']",,['CFD Stocks and Pacific Sunrise UK Ltd'],,2017-05-10,2023-06-19,"[{'otherInformationAccountNames': 'Mayzus Financial Services Ltd', 'otherInformationAccountNumbers': '3681972', 'otherInformationAccountBanks': 'Ceska Sporitelna a.s.'}, {'otherInformationAccountNames': 'Sioo Industrial Co Limited', 'otherInformationAccountNumbers': '817431927838', 'otherInformationAccountBanks': 'HSBC Bank'}, {'otherInformationAccountNames': 'RIF Life Science Limited', 'otherInformationAccountNumbers': '023100258838', 'otherInformationAccountBanks': 'HSBC BANK'}]",[]
11,Unlicensed (Legacy),Abacus Group Co Limited,['252/94 Muang Thai-Phetra Tower II 17th Floor Rachadaphisek Rd Huaykwang  Bangkok 10320 Thailand'],,,,,,,,2019-08-23,[],[]
